start,end,word
0.008,0.928,"נפוליאון,"
,,1769-1821.
7.412,7.912,מעטים
7.992,8.592,האישים
8.833,9.353,שהשפיעו
9.453,9.633,כל
9.713,9.893,כך
9.933,10.013,על
10.053,10.353,מהלך
10.393,10.894,ההיסטוריה
10.974,11.174,כמו
11.214,11.814,נפוליאון
11.894,12.094,בונפרטה
13.695,14.075,כ-35
14.375,14.716,שנים
14.736,14.796,הוא
14.816,15.036,לבש
15.176,15.616,"מדים,"
15.816,16.176,התחיל
16.236,16.777,כתלמיד
16.857,17.017,בבית
17.077,17.357,ספר
17.437,17.737,צבאי
17.757,18.438,"לנערים,"
18.898,19.318,טיפס
19.398,19.898,במהירות
19.998,20.359,בסולם
20.399,20.959,הדרגות
20.999,21.179,והיה
21.259,21.759,גנרל
21.899,22.22,בגיל
,,24
,,11
24.282,24.502,שנים
24.522,24.763,אחר
24.843,25.043,כך
25.103,25.263,כבר
25.343,25.783,הוכתר
25.903,27.124,כנפוליון
27.264,27.744,הראשון
27.824,28.204,קיסר
28.224,28.965,הצרפתים
29.465,29.905,ושלט
29.945,30.025,על
30.045,30.205,רוב
30.245,30.646,אירופה.
31.486,31.586,אך
31.626,31.706,הוא
31.766,32.026,רצה
32.126,32.427,"עוד,"
32.947,33.227,הקים
33.247,33.407,עליו
33.527,34.008,קואליציה
34.068,34.188,של
34.348,34.568,כל
34.648,35.128,מעצמות
35.148,35.728,היבשת
36.209,36.689,שבכוחות
36.729,37.209,משותפים
37.249,37.71,הצליחו
37.75,38.41,להביסו
38.47,38.95,ולשלוח
38.97,39.17,אותו
39.21,39.671,לגלות
39.811,39.911,על
40.011,40.171,אי
40.191,40.651,נידח
41.111,41.351,והוא
41.412,41.692,בן
,,46
42.952,43.233,בסך
43.253,43.533,הכל
43.593,43.973,במותו.
44.947,45.607,השפעתו
45.667,46.168,האדירה
46.228,46.368,של
46.388,46.848,נפוליון
46.888,47.248,על
,,מהלך
47.288,47.909,ההיסטוריה
48.429,48.849,נובעת
48.989,49.469,ממגוון
49.549,50.21,פעולותיו.
50.81,51.21,בנוסף
51.27,51.59,לשדות
51.63,52.131,"הקרב,"
52.531,52.931,העביר
52.951,53.431,נפוליון
53.551,53.792,זמן
53.892,54.092,רב
54.132,54.572,בחדרי
54.612,55.152,ישיבות
55.352,56.013,ובפגישות
56.073,56.173,עם
56.193,56.733,"מומחים,"
57.233,57.754,וההחלטות
57.814,58.434,שקיבל
58.794,59.374,והתוכניות
59.454,60.075,שאימץ
60.575,61.255,משפיעות
61.395,61.495,על
61.596,62.036,חיינו
62.116,62.356,אנו.
63.136,63.316,הנה
63.376,63.637,רשימה
63.737,64.137,חלקית.
65.197,65.737,המערכת
65.777,66.237,המשפטית
66.298,66.418,של
66.578,66.798,רוב
66.898,67.278,מדינות
67.338,67.738,אירופה
68.238,68.699,נשענת
68.779,68.899,עד
68.939,69.339,היום
69.699,69.819,על
69.919,70.399,קודקס
70.54,71.78,משפטי
,,אזרחי
72.18,72.881,שנחתם
72.921,73.581,בתקופתו
73.601,73.941,ונקרא
74.061,74.381,קודקס
74.461,75.042,נפוליאון.
75.862,76.102,קובץ
76.142,76.542,החוקים
76.582,76.903,הזה
77.243,77.863,הנציח
77.883,78.003,את
78.023,78.423,הישגיה
78.443,78.483,של
78.563,78.924,המהפכה
79.064,79.724,"הצרפתית,"
80.184,80.624,שוויון
80.724,81.065,הכל
81.125,81.445,בפני
81.465,81.905,"החוק,"
82.265,82.545,חופש
82.605,83.005,"הפרט,"
83.346,83.646,חופש
83.706,84.266,"העבודה,"
84.806,85.367,חילוניות
85.387,85.947,"המדינה,"
86.427,86.827,הכרה
86.867,87.608,בגירושין
87.668,88.008,ועוד.
89.007,89.488,בתקופת
89.528,90.089,הקיסרות
90.129,90.249,השליט
,,אמנם
90.99,91.431,צנזורה
91.491,92.172,קפדנית
92.212,92.292,על
92.312,92.933,העיתונות
92.994,93.514,ודיכא
93.534,93.655,את
93.715,94.356,"מתנגדיו,"
94.817,94.937,אך
94.977,95.037,היא
95.077,95.458,רשמית
95.498,96.039,לפחות
96.419,96.88,המשיך
96.92,97.441,לדבוק
97.621,98.242,בעיקרון
98.543,98.663,של
98.683,99.284,השוויון
99.304,99.604,בפני
99.644,100.025,"החוק,"
100.466,100.626,שזה
100.706,101.047,כמובן
101.107,101.187,לא
101.267,101.487,כלל
,,בני
101.788,102.269,משפחתו
102.289,102.87,ומקורביו.
103.975,104.095,הוא
104.115,104.215,גם
104.255,104.655,החדיר
104.695,105.336,לממשל
105.756,105.916,את
105.936,106.416,עקרון
106.616,106.756,אי
106.836,107.056,תלות
107.136,107.797,השופטים
108.197,108.797,ואיסור
108.877,109.517,העברתם
109.537,110.258,"מתפקידם,"
110.878,111.178,הקים
111.258,111.438,בנק
111.578,112.179,"מרכזי,"
112.199,112.419,הבנק
112.459,112.579,של
112.659,113.059,"צרפת,"
113.799,114.159,ייצב
114.199,114.34,את
114.36,114.98,"המטבע,"
115.22,115.26,זה
115.28,115.48,אותו
115.54,115.92,פראנק
116,116.501,שחלף
116.561,117.081,מהעולם
117.281,117.441,עם
117.561,117.961,תחילת
117.981,118.401,"האירו,"
119.102,119.642,והעביר
119.662,119.762,את
119.822,120.122,גביית
120.162,120.562,המסים
120.622,121.022,לגוף
121.123,121.223,של
121.303,121.643,פקידים
121.683,122.103,ממוונים
123.348,123.828,נפוליאון
123.888,124.229,יזם
124.329,124.609,שינוי
124.669,124.949,גבולות
125.009,125.129,של
125.149,125.549,מדינות
125.569,125.81,רבות
125.89,126.55,"ביבשת,"
126.99,127.391,הקטין
127.411,127.491,את
127.591,127.971,מספר
