start,end,word
2.27,2.911,החוויה
3.051,3.872,התיאטרונית
5.173,5.513,חלק
5.613,5.974,ב'
6.654,7.115,ראשיתה
7.255,7.355,של
7.375,7.775,הדרמה
7.835,8.496,היוונית
11.038,11.619,הפסטיבל
11.739,12.4,הדרמטי
12.44,12.92,לכבוד
13.14,13.921,דיוניסוס
16.243,16.684,בתקופה
16.744,17.184,העתיקה
17.645,17.925,הייתה
17.965,18.325,הדרמה
18.365,18.926,היוונית
19.026,19.266,חלק
19.346,20.047,מפסטיבלים
20.107,20.508,דתיים
20.548,21.048,וחגיגות
21.088,21.669,ציבוריות
21.849,22.269,לכבוד
22.389,22.95,דיוניסוס
24.95,25.83,דיוניסוס
26.131,26.351,היה
26.431,26.591,אל
26.651,27.111,היין
27.151,27.751,במיתולוגיה
27.791,28.452,היוונית.
28.872,29.052,אל
29.072,29.732,"האקסטזה,"
29.892,30.372,הטירוף
30.412,31.113,"וההרס,"
31.493,31.713,אל
31.753,32.193,המוות
32.253,32.974,והפריון.
33.454,33.794,תמונה
33.854,34.174,אחת
34.234,34.875,שבספר
34.935,35.275,מדגימה
35.335,35.475,זאת
35.535,35.855,היטב.
37.842,38.282,זקס
38.342,38.882,מציין
39.002,39.082,כי
39.162,39.723,דיוניסוס
39.763,40.123,לבש
40.163,40.503,ופשט
40.623,40.963,"צורה,"
41.383,41.623,והיה
41.683,41.843,גם
41.943,42.243,חסר
42.343,42.583,צורה.
43.484,43.764,יכול
43.804,43.944,היה
44.004,44.384,להופיע
44.484,45.004,"כשור,"
45.204,45.764,"כאריה,"
46.165,46.825,"כנחש,"
47.105,47.385,וגם
47.445,47.885,כאשכול
47.905,48.365,"הנבים,"
48.785,49.266,כגבר
49.366,49.406,או
49.486,50.006,"כאישה,"
50.506,51.066,כקורבן
51.186,51.566,הנקרע
51.606,52.086,לגזרים
52.106,52.607,בפולחן
52.667,52.907,שלו
52.947,53.367,"עצמו,"
53.787,54.107,בעוד
54.187,54.347,הוא
54.407,54.707,האל
54.787,55.087,שלו
55.408,55.868,הוקרב
55.888,56.388,הקורבן.
56.928,57.528,מכיוון
57.588,58.169,שהיין
58.229,58.309,הוא
58.349,58.649,מקור
58.729,59.109,שמחה
59.169,59.609,"לאדם,"
59.989,60.129,אך
60.149,60.429,יכול
60.489,60.589,גם
60.65,60.93,להביא
60.95,61.55,"לאובדנו,"
61.99,62.17,היה
62.25,62.59,פולחן
62.65,62.93,האל
62.99,63.171,בעל
63.251,63.551,כפל
63.611,63.951,"פנים,"
64.531,64.951,תחושת
65.031,65.511,שחרור
65.551,66.092,ושמחה
66.152,66.512,"מזה,"
66.912,67.512,ואכזריות
67.612,68.032,פראית
68.133,68.453,מזה.
69.153,69.293,שום
69.373,69.753,חגיגה
69.813,70.113,ביוון
70.153,70.614,הקדומה
71.014,71.074,לא
71.134,71.434,יכלה
71.474,72.034,להשתוות
72.114,72.814,לדיוניסיה
72.874,73.255,הגדולה
73.375,73.875,שנחוגה
73.935,74.435,באביב
74.815,75.315,ונמשכה
75.435,75.736,חמישה
75.816,76.096,ימים.
76.756,77.237,באופן
77.297,77.577,יוצא
77.637,78.058,"דופן,"
78.418,78.899,הפולחן
78.919,79.299,הדתי
79.36,79.42,לא
79.48,79.88,התקיים
79.9,80.541,במקדש
80.641,80.801,כאם
80.842,81.262,בזירת
81.282,81.903,"התיאטרון,"
82.364,82.844,והטקס
82.904,83.265,עצמו
83.485,83.786,צויין
83.826,84.266,בהצגת
84.326,84.827,מחזות.
85.328,85.768,השירה
85.848,86.309,הנעלה
86.369,86.73,ביותר
86.79,87.27,ביוון
87.631,88.011,נכתבה
88.051,88.492,לכבודו.
90.458,90.978,במאמר
91.058,91.459,מוסגר
91.519,92.079,נציין
92.539,92.799,שיש
92.859,93.32,שקושרים
93.36,93.46,את
93.5,93.8,ראשית
93.82,94.24,היווצרות
94.28,94.9,התיאטרון
94.96,95.06,עם
95.1,95.541,פולחנים
95.581,96.081,דתיים
96.521,97.082,בהסתמכם
97.162,97.222,על
97.282,97.602,גישה
97.622,98.142,המכונה
98.302,98.802,אסכולת
98.882,99.403,קיימבריג'
99.883,100.143,משום
100.243,100.403,שהיא
100.443,100.723,נוצרה
100.824,101.604,באוניברסיטת
101.684,102.144,קיימבריג'
102.244,102.725,אנגליה
103.205,103.285,על
103.325,103.505,ידי
103.565,103.925,קבוצת
103.965,104.626,אנתרופולוגים
104.646,105.486,וקלסיקנים
105.546,105.926,בסוף
105.946,106.246,המאה
106.266,106.286,ה-19.
107.367,108.268,"לשיטתם,"
108.748,109.188,התיאטרון
109.228,109.729,התפתח
109.809,110.229,בחברות
110.309,110.87,פגניות
110.99,111.47,מטקסי
111.49,111.831,החג
111.911,112.451,שהוקדשו
112.471,112.871,לאל
113.472,114.072,כאמצעי
114.092,114.653,לפיוסם
114.713,114.833,של
114.893,115.193,כוחות
115.233,115.774,מסתוריים
115.814,116.314,ותופעות
116.354,116.594,טבע
116.614,116.714,לא
116.734,117.235,מובנות
117.695,118.256,הנקשרים
118.316,118.796,בתמורות
118.836,119.437,אקלימיות
119.577,119.917,כגון
119.957,120.517,מחזוריות
120.637,120.858,עונות
120.898,121.378,השנה
121.718,122.099,והיום
122.139,122.759,והלילה
123.24,123.82,ובתופעות
123.9,124.481,חקלאיות
124.561,124.861,כגון
124.901,125.441,"בצורת,"
125.641,126.162,מגפות
126.382,126.922,וכדומה.
127.323,127.483,אלה
127.523,127.643,הן
127.703,128.103,תמורות
128.163,128.624,שחיי
128.684,128.964,האדם
129.044,129.344,תלויים
129.384,129.605,בהן.
130.165,130.485,רק
130.545,130.965,בשלבים
131.025,131.486,מאוחרים
131.526,131.866,יותר
132.266,132.626,נוצקו
132.666,133.066,התכנים
133.107,133.547,הדתיים
133.567,133.967,השונים
134.007,134.547,לפולחנים
134.647,134.907,אלה.
135.448,135.768,"כלומר,"
135.968,136.408,בראשית
136.528,136.808,היה
136.848,137.449,"הפולחן,"
137.889,138.069,שהוא
138.149,138.529,טקס
138.569,138.729,בעל
138.769,139.29,מאפיינים
139.35,139.97,תיאטרוניים
140.07,140.53,שהצבענו
140.57,140.831,עליהם
140.851,141.271,בחלק
141.351,141.691,"א',"
142.051,142.331,כגון
142.431,142.912,שחקנים
142.952,143.532,"וצופים,"
143.932,144.292,כללי
144.332,144.692,משחק
144.793,145.193,ברורים
145.333,145.433,או
145.513,145.913,מרחב
146.013,146.333,פעולה
146.413,146.814,מובחן.
147.614,148.134,בשלב
148.194,148.554,מאוחר
148.614,148.974,יותר
149.435,149.735,נותק
149.775,150.275,התיאטרון
150.315,150.955,מהפולחן
150.995,151.535,והפולחן
151.575,151.816,הפך
151.956,152.356,לחלק
152.416,152.916,מהדת.
153.736,154.096,ברוח
154.136,154.597,אסכולת
154.677,155.197,קיימברידג'
155.557,155.717,יש
155.777,156.057,לראות
156.117,156.357,איפה
156.397,156.837,בדרמה
156.857,157.458,ובתיאטרון
157.478,157.938,הקלאסיים
157.998,158.118,של
158.158,158.578,"אתונה,"
158.898,159.398,המייצגים
159.418,159.518,את
159.558,159.979,ראשיתו
160.039,160.139,של
160.199,160.559,תיאטרון
160.579,161.159,"המערב,"
161.599,162.019,פיתוח
162.079,162.199,של
162.219,162.479,אותם
162.539,163,פולחנים
163.06,163.6,שנחוגו
163.64,163.9,מדי
163.98,164.24,שנה
164.3,164.76,בחגיגה
164.8,165.16,לכבוד
165.18,165.42,האל
165.481,166.061,דיוניסוס.
166.801,167.441,לאסכולת
167.521,167.942,קיימברידג'
167.962,168.182,הייתה
168.202,168.522,השפעה
168.602,168.882,גדולה
168.962,169.262,במאה
169.282,169.622,השנים
169.642,170.203,"האחרונות,"
170.603,170.683,לא
170.723,170.863,רק
170.903,170.983,על
171.043,171.363,חקר
171.383,171.683,תולדות
171.703,172.303,"התיאטרון,"
172.724,172.844,אלא
172.904,173.044,גם
173.084,173.184,על
173.204,173.724,האופן
173.784,174.084,שבו
174.104,174.444,הוצגו
174.464,174.905,הטרגדיות
174.985,175.525,והקומדיות
175.545,176.185,"הקלאסיות,"
176.605,176.946,ולכן
176.986,177.086,יש
177.166,177.406,מקום
177.446,177.926,להזכירה
178.006,178.446,בהקשר
178.506,178.706,זה.
179.367,179.727,כיום
179.807,180.087,רבים
180.127,180.527,היוצאים
180.587,180.947,כנגד
181.007,181.288,גישה
181.428,181.688,זו
182.028,182.648,ומערערים
182.688,182.988,"עליה,"
183.368,183.409,כי
183.429,183.509,היא
183.529,184.029,מבוססת
184.069,184.449,בעיקרה
184.489,184.589,על
184.629,185.129,השערות
185.209,185.549,שאינן
185.589,186.09,מאוששות
186.19,186.55,"דיין,"
186.95,187.15,ועל
187.19,187.47,מיעוט
187.53,187.971,עדויות
188.051,188.351,בלתי
188.431,188.831,תלויות
189.151,189.471,כגון
189.531,189.971,ממצאים
190.011,190.752,ארכיאולוגיים.
191.152,191.893,הפסטיבל
191.993,192.173,היה
192.253,192.494,אירוע
192.594,192.974,פוליטי
193.034,193.194,רב
193.295,193.735,חשיבות
193.835,194.116,בלוח
194.176,194.576,השנה
194.616,195.177,האתונאי.
195.918,196.318,נסייג
196.338,196.418,את
196.458,196.819,דברינו
196.859,197.44,ונבהיר
197.82,197.9,כי
197.94,198.301,במילה
198.481,199.061,פוליטי
199.262,199.722,הכוונה
199.782,199.902,היא
199.923,200.243,לחיים
200.263,200.784,הציבוריים
200.844,200.984,של
201.004,201.625,"הפוליס,"
201.825,202.105,"העיר,"
202.185,202.686,"המדינה,"
203.166,203.767,שהתיאטרון
203.827,203.967,היה
204.047,204.388,מרכיב
204.468,204.768,בלתי
204.788,205.149,נפרד
205.209,205.389,מהם.
206.17,207.01,הפוליס
207.051,207.171,היה
207.231,207.511,מבנה
207.591,208.011,שלטוני
208.031,208.451,אופייני
208.491,208.812,ליוון
208.852,209.372,"העתיקה,"
209.832,210.092,שבו
210.212,210.392,עיר
210.432,210.913,מרכזית
211.013,211.453,"כלשהי,"
211.493,211.853,דוגמת
211.913,212.294,אתונה
212.394,212.454,או
212.494,212.994,"ספרטה,"
213.354,213.794,והאזור
213.814,214.195,המקיף
214.215,214.475,"אותה,"
214.875,215.135,היוו
215.155,215.555,יחידה
215.635,216.056,מדינית
216.096,216.596,עצמאית
216.656,216.896,בעלת
216.956,217.316,שלטון
217.376,217.837,עצמי
218.137,218.657,וחוקים
218.717,219.137,וחוקה
219.218,219.618,משלה.
220.278,220.678,מכיוון
220.718,221.399,שהדמוקרטיה
221.459,221.959,"באתונה,"
222.099,222.519,פירושו
222.539,222.76,היה
222.9,223.3,שלטון
223.32,223.66,"העם,"
224.06,224.421,שכללה
224.461,224.961,למעשה
225.001,225.181,רק
225.201,225.421,סוג
225.461,225.881,מסוים
225.921,226.062,של
226.082,226.642,"אזרחים,"
227.022,227.422,גברים
227.482,227.722,ולא
227.742,228.003,נשים
228.043,228.103,או
228.123,228.623,"עבדים,"
229.083,229.283,הרי
229.363,229.804,שהזהות
229.824,230.424,האזרחית
230.504,230.924,הוצגה
230.984,231.465,והוגדרה
231.525,232.125,בתחרויות
232.145,232.845,הדרמטיות
233.186,233.726,ונבחנה
233.806,234.006,בהן
234.046,234.406,בצורה
234.466,234.987,ביקורתית.
235.567,236.247,מטבע
236.287,236.707,הדברים
