idx,start,end,word
1,NA,0.513,ראיתי
2,0.613,0.813,קוף
3,1.053,1.654,שמנגן
4,1.734,4.535,מוצרט
5,4.595,5.015,שקר
6,5.095,5.355,יכול
7,5.415,5.935,להקיף
8,5.955,6.015,את
9,6.075,6.555,מחצית
10,6.615,6.935,העולם
11,7.156,7.496,לפני
12,7.556,8.156,שהאמת
13,8.496,8.976,מספיקה
14,9.016,9.356,אפילו
15,9.396,9.736,לנעול
16,9.776,9.916,את
17,9.977,10.457,נעליה.
18,11.257,11.537,מרק
19,11.577,11.997,טוויין
20,12.898,13.398,לאגדות
21,13.458,14.138,אורבניות
22,14.218,14.398,יש
23,14.458,14.858,לעיתים
24,14.898,15.358,תכופות
25,15.518,15.839,לקח
26,15.899,16.479,"מוסרי,"
27,16.859,17.099,כמו
28,17.139,17.659,בסיפור
29,17.679,17.999,הקופים
30,18.039,18.459,"בכלוב,"
31,18.9,19.16,והן
32,19.24,19.58,בראש
33,19.66,20.24,ובראשונה
34,20.32,20.86,סיפורים.
35,21.32,21.461,יש
36,21.521,21.761,להן
37,21.841,22.141,"רקע,"
38,22.381,22.881,"גיבורים,"
39,23.201,23.641,עלילה
40,23.681,24.061,המגיעה
41,24.141,24.562,"לשיא,"
42,24.942,25.442,ושורת
43,25.542,25.982,מחץ
44,26.022,26.562,המתירה
45,26.642,26.762,את
46,26.802,27.283,הסבך
47,27.303,27.803,העלילתי.
48,28.543,28.823,הן
49,28.903,29.384,מסייעות
50,29.424,29.924,לאנשים
51,29.984,30.584,לשעשע
52,30.604,30.724,את
53,30.744,31.165,עצמם
54,31.525,32.065,ולהנחיל
55,32.105,32.626,לאחרים
56,32.726,33.206,ערכים
57,33.266,33.726,ונורמות
58,33.806,34.427,"חברתיות,"
59,34.827,35.708,ומקצתן
60,35.748,36.248,משקפות
61,36.328,36.788,פחדים
62,36.888,37.489,ודאגות
63,37.549,38.169,המשותפים
64,38.209,38.69,לרבים.
65,39.55,39.95,אגדות
66,40.01,40.691,אורבניות
67,40.791,41.111,קונות
68,41.171,41.551,אחיזה
69,41.611,42.172,בלבנו
70,42.532,42.612,כי
71,42.652,42.772,הן
72,42.812,43.373,מספקות
73,43.553,43.973,תובנות
74,44.053,44.653,חברתיות
75,44.733,45.134,מאירות
76,45.214,45.714,עיניים
77,46.034,46.595,בהקשרים
78,46.655,47.295,תרבותיים
79,47.355,47.495,או
80,47.535,48.116,כלכליים
81,48.376,48.996,המעסיקים
82,49.036,49.136,את
83,49.196,49.597,כולנו.
84,50.177,50.617,קשה
85,50.698,51.298,להתחקות
86,51.338,51.418,על
87,51.478,51.999,"מקורן,"
88,52.48,53.2,והשורשים
89,53.26,53.401,של
90,53.501,53.981,חלקן
91,54.161,54.562,נטועים
92,54.622,55.163,"בעבר,"
93,55.623,55.763,אך
94,55.803,56.284,לאגדות
95,56.324,57.025,אורבניות
96,57.105,57.285,כמו
97,57.365,57.665,סיפור
98,57.765,58.226,הקופים
99,58.626,59.227,שמקורן
100,59.287,59.788,במחקר
101,59.828,60.228,מדעי
102,60.268,60.809,"לכאורה,"
103,61.289,61.49,יש
104,61.59,62.03,יתרון
105,62.11,62.551,שאינו
106,62.611,63.031,מאפיין
107,63.091,63.432,אגדות
108,63.452,63.952,אחרות.
109,64.473,64.833,אפשר
110,64.873,65.334,לעקוב
111,65.434,65.694,אחר
112,65.714,66.555,"התפתחותן,"
113,66.876,67.276,כיוון
114,67.336,68.037,שמקורן
115,68.097,68.598,מוגדר
116,68.758,69.278,ומזוהה.
117,70.072,70.552,אגדה
118,70.612,71.273,מפורסמת
119,71.313,71.593,אחת
120,71.653,71.993,כזאת
121,72.013,72.514,טוענת
122,72.914,73.034,כי
123,73.074,73.615,האזנה
124,73.695,73.835,של
125,73.895,74.355,תינוקות
