start,end,word
2.624,3.104,נושאים
3.164,3.785,נבחרים
3.845,4.465,בכלכלת
4.545,4.886,מוצרי
4.926,5.266,מידע.
6.327,6.607,פרק
,,3
8.028,8.408,גישות
8.488,9.049,לניתוח
9.189,9.489,עלות
9.609,10.09,תועלת
10.31,10.43,של
10.49,10.91,מערכות
10.99,13.392,מידע.
,,3.1.
14.993,15.333,מבוא.
16.254,16.634,בפרק
,,"2,"
17.295,17.775,מאפייני
17.815,18.216,צריכה
18.296,18.376,של
18.436,18.716,מוצרי
18.756,19.096,"מידע,"
19.677,20.117,הסברנו
20.217,20.778,שמערכות
20.858,21.098,מידע
21.238,21.658,חיוניות
21.718,22.299,לארגונים
22.679,22.759,כי
22.779,22.839,הן
22.879,23.359,מאפשרות
23.419,23.58,להם
23.62,23.96,להציע
23.98,24.74,ללקוחותיהם
24.801,25.181,מוצרים
25.241,25.781,"אישיים,"
26.222,26.702,להשתלב
26.742,27.262,בכלכלת
27.362,27.903,"חוויות,"
28.143,28.543,להשיג
28.603,28.884,קשב
28.964,29.664,אפקטיבי
29.924,30.225,ועוד.
30.805,31.666,למערכות
31.706,32.126,המידע
32.266,32.406,יש
32.466,32.726,אפוא
32.786,33.167,חשיבות
33.207,33.947,"אסטרטגית,"
34.488,34.788,לכן
34.828,35.288,לכאורה
35.468,35.749,חייב
35.909,36.069,כל
36.129,36.469,ארגון
36.529,36.95,להשקיע
37.03,37.31,"בהן,"
37.71,38.17,אפילו
38.23,38.311,אם
38.411,38.531,אין
38.551,38.711,לך
38.811,39.251,הצדקה
39.331,39.752,כלכלית
39.812,40.272,"מוצקה,"
40.752,41.153,אחרת
41.173,41.233,הוא
41.273,41.333,לא
41.373,41.893,ישרוד.
42.674,42.814,אם
42.874,43.074,"זאת,"
43.094,43.494,ההשקעה
43.554,44.035,במערכות
44.115,44.395,מידע
44.435,44.715,אמורה
44.775,45.176,בסופו
45.216,45.316,של
45.356,45.636,דבר
45.716,46.196,להשתלם
46.256,46.717,לארגון.
47.157,47.617,את
47.637,47.997,הלקח
48.017,48.237,הזה
48.297,48.517,למדו
48.557,48.918,היטב
49.058,49.238,כל
49.338,49.718,חברות
49.778,50.038,הדוט
50.138,50.398,קום
50.778,51.278,שפעלו
51.358,51.498,בלי
51.558,51.879,תוכנית
51.899,52.199,עסקית
52.259,52.619,ברורה
53.079,53.359,ובלי
53.439,53.639,שיהיה
53.679,53.819,להם
53.859,54.259,מושג
54.359,54.719,כיצד
54.759,55.12,יחזירו
55.14,55.56,לעצמן
55.58,55.7,את
55.72,56.24,ההשקעות
56.32,57,וירוויחו.
57.64,57.9,לכן
58.001,58.321,חשוב
58.361,58.541,מאוד
58.581,58.901,לערוך
59.041,59.321,ניתוח
59.501,59.701,עלות
59.781,60.141,תועלת
60.181,60.301,של
60.341,60.681,השקעה
60.721,61.202,במערכות
61.282,61.542,מידע
62.002,62.122,על
62.162,62.342,אף
